;coefHML;coefSML;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorrmrf;r2
MO;0,002481001014190978;-0,0023967287531182443;0,004371996426488715;-0,0005644563097919628;0,0012319872878114315;0,01569542236815561;0,6731402668172217;9,714670854580325e-16;0,06264462102094481
EQIX;-0,003639512548238147;0,0022293565360148176;0,012253836186570565;-0,0013555075739102981;0,0047762650531112645;0,18085780930535691;0,5467039303096288;3,130742783737799e-39;0,14486811712701386
PH;0,0047876851966517815;0,0020700417130996153;0,011973258581036431;-0,00013980318644180378;4,2305519454854413e-23;0,0007590909675299343;0,8659562664609866;1,756457726673852e-195;0,5603748316354149
PSX;0,005698732325242955;0,0021328488448559262;0,0034892826503799645;-2,5476330546580353e-05;4,842813774129935e-33;0,00037401223361685314;0,9748298704378131;6,855285653314686e-26;0,2016009969931547
CL;-0,0002513743925334835;-0,0043531256602366425;0,005348577626938127;-0,0001320868573254341;0,5412294224510341;6,735367887246878e-16;0,8541364774738247;5,463469310959064e-68;0,22345127705372014
ITW;0,00271687897989279;-0,0006958460846214875;0,009777681228211989;-0,0001636083072102296;1,9104785397235824e-12;0,1592197991065081;0,8062956089152004;2,8310519661234253e-199;0,5424949354500841
FCX;0,00745444237198612;0,005456823313736777;0,013547929566621457;-0,001655267385310703;3,180536838963898e-15;6,7981440658799455e-06;0,31021887550086585;5,044300419757455e-82;0,32426425751543386
PYPL;-0,003459257896739224;-0,0005190366017306553;0,004573430523489869;-0,0004064087712493656;5,223578511857256e-14;0,3772445473954035;0,608602832619185;2,367272418368502e-43;0,17087949674145209
CSX;0,004032329595756223;-0,0003930962356683397;0,0106712722694381;0,0004144289813515354;2,2122907828937594e-14;0,5602714031395805;0,6492851208441377;3,942010138895623e-143;0,4415986472838357
BDX;-0,0009033321433548904;-0,0008293993072199709;0,00536027997354154;0,0007156981457184359;0,044774988493106765;0,1540857913365801;0,3622872504450093;1,9199417977710194e-58;0,19172464016212787
MCK;0,0003060629946214274;-0,0014837397232640385;0,00762256479051134;0,0010918873555925937;0,6152269252135114;0,05972280960390666;0,30459540656798645;1,108846898931514e-63;0,2078301522175391
ABNB;-0,0019110182548524254;0,002763995352034404;0,00169295768819836;-0,0005327331282108371;1,0753661924785165e-06;5,0905198889394304e-08;0,4341083431267949;8,117908472666216e-10;0,08756026399020578
APH;-0,0016153668681547786;0,0038813235216993516;0,012078731697810359;0,0011204581320851264;0,0027098251592440285;2,901453632683971e-08;0,2329035615584604;5,389414106076332e-165;0,4937255744067317
TT;0,003781184746170455;-0,0005238871789017011;0,012688617698110197;-8,293307284718007e-05;7,931613221346468e-13;0,43826176213302115;0,927585641115201;6,502691163899746e-185;0,519424293835894
TDG;0,004156323555490509;0,0023418709710313116;0,0075411162756744135;0,0014100712926240178;3,5238515058407715e-15;0,0005330376797337492;0,12176814324549333;1,4692229909803754e-81;0,3165809977300206
USB;0,011486511426418598;-0,002803895394654355;0,010821089446548849;-0,001781867649799148;2,560646007088195e-93;2,6627113261691154e-05;0,047443162663495145;1,679324175707208e-149;0,5522712553093146
GD;0,003495611878828059;-0,0021436204404907296;0,008167205245382;0,00023260495554945025;2,4464141442814423e-15;0,0001505470679214987;0,760027909930758;9,089526260166345e-125;0,39813074123703496
ORLY;0,0005337806392048048;-0,002317836518043132;0,007462112770949702;0,002531373900792704;0,406596182815556;0,005393799813648176;0,02434166555881214;9,061854135002582e-56;0,18296240898023808
EMR;0,003419510871412793;0,0009724825391718869;0,0092294919314056;-0,0008354511165796416;2,0241383037260024e-15;0,07722037632212843;0,2607416297967813;1,0764473280940983e-156;0,4778775703431356
HCA;0,0014433183300490047;0,00046915337209269816;0,005219708433793865;0,0006806032265995325;0,004748414028179007;0,4772443572649986;0,4451229218432048;1,2849235045210553e-44;0,16390453400963267
NOC;0,0023876627431111356;-0,002593232700379765;0,006411371221369129;0,001067946739670744;9,92401437789038e-07;3,871776361684484e-05;0,20808417718616415;8,083892825391585e-70;0,24230184419406064
PNC;0,011609734648329149;-0,0016803345486591094;0,011215010088148746;-0,0014086236581694355;6,919983610384275e-95;0,01168955663937843;0,11722262379149112;1,1562728829097538e-157;0,5653505299442543
PCAR;0,004468380658669205;0,0015266915821971986;0,011216080192191582;0,00016497760383785064;5,712819839324287e-19;0,017057573842013292;0,8484330863351166;1,7916568207925477e-167;0,504744055984316
AON;0,0017795194006768606;-0,004145828865608143;0,007684979568381538;0,00022965475944773856;0,002826667628041163;8,426107076614918e-08;0,8250500817069613;3,0196084853589306e-67;0,22559789366740657
FDX;0,0028121752727978907;0,0016724994775753955;0,009780910559471983;-0,0005989519610309796;9,874817301183624e-08;0,013832493844194306;0,5133870602604848;7,959259087485955e-124;0,4005256379254639
PXD;0,008869755716845928;0,0022098787853935937;0,010984653768384076;0,0002461481567191022;2,796041273891024e-29;0,026587806677451337;0,8547211821344285;9,3657182012895e-80;0,33405278717521747
NXPI;0,0008755844597039417;0,0039509346997368185;0,006838129434367027;0,0007751554535359789;0,16492589941188593;1,4028449501451117e-06;0,4813125689417862;1,5299622162193513e-49;0,2041687075110563
